rider_id,alloted_orders,delivered_orders,undelivered_orders,lifetime_order_count
10385,27,27,0,1167
19592,5,4,1,95
18751,68,67,1,144
11752,11,11,0,56
11157,17,17,0,51
528,0,0,0,23
7154,140,138,2,777
17952,104,103,1,766
12464,39,37,2,278
12045,35,35,0,56
17387,31,31,0,123
19870,3,3,0,4
1613,16,16,0,6666
667,51,51,0,114
14741,38,38,0,147
12165,30,30,0,297
16267,1,1,0,98
8401,139,138,2,1244
4645,0,0,0,39
16858,7,7,0,30
13030,38,38,0,50
11359,11,11,0,618
9890,4,3,1,90
11026,0,0,0,124
13344,108,107,1,2134
4199,39,39,0,4221
6786,21,21,0,10292
16847,153,152,1,1350
12686,18,18,0,55
17555,1,1,0,242
14659,3,3,0,216
17564,0,0,0,919
20513,67,67,0,3093
20805,6,6,0,33
4893,35,35,0,390
4967,18,18,0,305
17473,69,69,0,536
18452,12,12,0,191
21539,44,44,0,95
3671,31,31,0,50
20252,0,0,0,1
19971,121,120,1,506
17146,5,5,0,9
14872,20,20,0,545
13094,11,9,2,2293
6631,9,9,0,47
7691,15,15,0,371
44,30,30,0,1021
14662,1,0,0,0
19170,0,0,0,178
11152,149,147,2,179
20716,39,39,0,56
15508,71,70,1,219
12505,97,97,0,1536
8416,16,16,0,163
18487,144,142,2,439
4921,469,467,2,2326
16208,0,0,0,1
16708,8,8,0,238
14626,75,75,0,314
7184,78,76,2,351
3882,78,78,1,1119
14547,1,1,0,24
15436,84,84,0,258
20020,10,10,0,489
6495,24,24,0,498
21333,3,3,0,20
18007,3,3,0,15
6091,34,34,0,468
12074,72,72,0,183
12145,61,60,1,195
12836,6,6,0,48
19439,23,23,0,625
15629,1,1,0,514
5628,71,71,0,143
13445,108,108,0,257
9413,16,16,0,145
11265,19,19,0,113
6473,137,136,1,1103
7711,155,155,0,286
10188,0,0,0,202
17594,6,6,0,81
7520,38,37,1,114
2538,0,0,0,669
19246,0,0,0,59
10042,35,35,0,1715
3890,16,16,0,129
6329,201,201,1,343
8814,85,84,1,787
15046,131,131,0,844
3374,17,17,0,129
20639,6,6,0,319
4702,235,234,2,1187
14696,134,132,2,357
7541,7,7,0,49
20527,43,42,1,248
3133,46,46,1,389
10574,65,65,0,182
524,23,22,1,223
8624,67,67,0,138
16277,0,0,0,77
3311,88,86,2,3388
17265,11,11,0,1061
15137,10,10,0,139
5511,59,59,0,184
4959,165,165,1,402
1185,321,320,1,983
6723,30,30,0,338
19224,2,2,0,154
14290,0,0,0,3
6818,39,38,1,279
1101,6,6,0,25
12019,78,78,0,554
18894,32,32,0,60
360,136,135,1,1030
99,0,0,0,41
7486,40,40,0,981
11436,0,0,0,8
18142,8,8,0,282
9924,284,283,1,1449
9626,14,14,0,888
5049,7,7,0,270
7105,114,114,0,563
15984,54,54,0,1700
19217,2,2,0,5
18582,2,2,0,6
442,200,196,4,386
1238,12,12,0,59
20868,19,19,0,46
8522,324,324,0,959
8890,13,13,0,215
17631,37,37,0,54
18331,156,153,3,179
11474,132,132,0,3578
4082,75,75,0,159
2486,157,156,1,1490
17331,38,37,1,1926
11373,10,10,0,176
8943,0,0,0,24
8400,41,41,1,620
13983,10,10,0,71
18570,0,0,0,60
2477,290,288,2,482
17518,1,0,0,256
3495,96,96,0,751
4151,11,11,0,46
17680,60,57,3,73
9386,38,38,0,142
18278,11,11,0,63
384,135,135,0,227
16494,34,32,2,175
5100,190,190,1,723
8936,8,8,0,105
5291,8,8,0,62
20789,31,30,1,249
7982,2,2,0,65
12290,34,34,0,75
9940,39,36,3,676
14958,56,55,1,297
20209,8,8,0,34
14291,1,0,0,1
17814,62,62,0,792
17318,1,0,0,141
4574,103,103,0,141
8314,4,4,0,38
13645,6,6,0,20
17893,48,48,0,1662
15479,196,193,3,205
20030,4,3,1,119
18242,3,1,2,8
4725,57,57,0,334
15220,6,6,0,81
2126,86,86,0,1459
14115,9,9,0,1091
18449,2,2,0,313
12756,3,3,0,14
20906,39,39,0,96
1579,106,105,1,1347
15901,27,27,1,1751
21512,38,38,0,175
13071,25,25,0,2362
13175,23,23,0,265
18602,25,23,2,367
17937,0,0,0,16
9041,12,12,0,57
8213,15,15,0,1255
2089,28,27,1,265
7565,37,36,1,71
1928,56,56,0,210
10784,37,37,0,135
88,18,18,0,613
6188,119,117,2,171
16332,36,36,0,1189
10410,25,25,0,467
188,126,126,0,594
16403,66,63,3,374
4232,181,181,1,422
2155,11,11,0,1375
13820,171,170,1,1625
17729,8,8,0,15
1161,4,4,0,37
2413,75,70,5,190
18544,11,11,0,63
11468,6,6,0,190
15477,23,22,1,84
11126,231,229,2,283
2428,186,186,0,959
13088,114,113,1,560
7545,71,70,1,455
6447,86,86,0,333
14328,12,11,1,70
15075,0,0,0,1
5,20,20,0,102
6339,142,141,1,286
12424,71,71,0,474
1165,201,201,0,2119
3406,16,16,0,70
14653,247,245,2,1191
18743,29,29,0,118
6070,261,259,2,301
8720,98,95,3,217
1429,42,42,0,556
807,11,11,0,68
6616,93,91,2,1120
10326,49,49,0,365
12393,51,51,0,329
13562,2,2,0,35
15497,3,3,0,124
14724,40,40,0,61
15932,128,127,1,1634
13763,1,1,0,712
2227,20,20,0,255
8044,88,86,2,2685
7274,115,114,1,1143
12824,0,0,0,10
4607,5,5,0,155
12311,84,82,2,898
14329,10,9,1,81
12222,26,26,1,362
18742,68,68,0,443
13417,109,108,2,3912
6028,111,111,0,2380
4106,224,219,5,241
11200,214,214,1,1040
6233,77,76,1,543
7798,10,10,0,102
13850,28,28,0,619
13690,6,6,0,630
20255,0,0,0,1
3876,26,26,0,391
9142,65,63,2,130
10166,74,74,0,289
6726,173,173,0,3441
6648,71,71,0,1566
13539,82,82,0,464
20274,4,3,1,21
6721,55,55,0,94
18226,0,0,0,80
10763,0,0,0,5
12221,22,22,0,187
369,263,262,1,975
13293,4,4,0,19
20584,81,81,0,208
19763,16,16,0,2144
8264,36,35,1,478
19278,0,0,0,6
3783,182,179,4,271
15218,0,0,0,6
16131,1,1,0,3
5257,5,5,0,155
15398,13,13,0,67
7023,125,124,1,319
21044,126,125,1,935
7487,144,143,1,433
13846,0,0,0,28
14034,54,53,2,1512
16871,0,0,0,2
9808,18,17,1,1281
18299,0,0,0,8
8661,48,48,0,1138
16925,0,0,0,107
16468,43,42,1,494
10133,33,33,0,664
15874,0,0,0,21
7104,15,15,0,100
5903,133,133,0,172
13857,17,17,0,49
3772,22,21,1,39
2354,23,23,0,415
5801,91,90,1,493
19454,53,53,0,188
18127,64,64,0,1218
9624,107,107,0,446
12642,23,23,0,561
20316,36,36,0,50
18607,3,2,1,54
19977,12,11,1,205
11213,1,1,0,30
5082,62,62,0,181
4924,11,11,0,31
12963,5,5,0,310
16451,30,30,0,62
8815,8,8,0,35
21458,50,49,1,135
6328,203,200,3,1049
12350,18,16,2,1458
5613,45,44,1,3900
10721,35,34,1,474
9715,27,27,0,72
7613,105,105,0,283
701,19,18,1,119
4231,51,51,1,536
17074,237,236,1,773
15696,50,48,2,251
7102,57,56,1,583
14498,8,8,0,39
17451,53,53,0,154
10030,27,27,0,292
7291,211,210,1,1743
6503,78,77,2,229
12673,57,56,1,344
6844,71,71,0,184
17903,16,16,0,402
9984,34,33,1,331
19770,2,2,0,6
11578,50,50,0,161
19867,17,17,0,202
3654,129,126,3,6195
6395,119,118,1,320
1886,215,211,6,375
19577,4,4,0,56
5446,66,66,0,704
16245,3,2,1,18
6743,12,12,0,39
18025,136,136,0,11056
19521,0,0,0,5
18351,97,97,1,220
12205,14,14,0,149
20677,2,2,0,323
14117,127,127,0,1912
8238,35,35,0,597
15510,54,54,0,98
21306,1,1,0,130
3543,140,137,3,562
18419,18,18,0,65
20626,2,1,1,1430
15588,37,37,0,66
10366,4,4,0,46
8803,36,36,0,1593
2963,91,91,0,2595
15012,182,178,4,1757
14112,1,1,0,124
11805,145,141,5,207
7316,50,49,1,265
20927,14,14,0,195
1941,121,118,3,1450
3019,95,92,3,453
15161,107,106,2,440
18928,0,0,0,4
21060,20,19,1,47
2278,85,84,1,755
19463,0,0,0,2
535,41,41,0,675
4335,0,0,0,18
5040,60,60,0,119
1159,27,27,0,3510
14248,4,3,1,7
10480,3,3,0,42
725,181,180,1,736
4107,23,23,0,52
18409,61,61,0,89
9100,6,6,0,188
17422,67,67,0,621
14412,67,66,1,524
7739,7,7,0,50
6685,21,20,1,122
9631,25,25,0,210
20084,7,7,0,563
13953,50,50,0,1260
15033,20,20,0,182
2024,0,0,0,6
14522,92,90,2,314
5536,136,135,1,572
11273,89,88,1,860
18539,10,10,0,53
11284,18,18,0,50
16485,28,26,2,810
21191,0,0,0,1
14229,0,0,0,61
16377,19,18,1,99
5179,66,65,1,110
13942,24,23,1,1083
3441,0,0,0,15
18126,35,35,0,206
13314,50,50,0,294
20707,38,38,0,151
17990,100,98,2,248
21095,0,0,0,9
8976,36,36,1,666
7501,40,40,0,83
20012,10,8,2,75
7122,176,174,2,1278
3192,15,15,0,1663
7235,15,15,0,116
8832,56,56,0,95
21053,4,4,0,25
18667,90,89,1,105
7852,30,29,1,269
4363,13,13,0,42
20217,71,71,0,168
20581,13,13,0,222
14811,43,42,1,342
13633,10,10,0,88
1293,110,108,2,142
19222,40,40,0,219
11130,19,18,1,26
2133,92,91,1,128
14299,0,0,0,4
13335,88,87,1,138
18721,1,1,0,637
21090,0,0,0,10
3269,36,35,1,1451
12748,59,59,0,833
158,322,321,1,395
19188,11,10,1,36
7670,61,60,1,587
19254,9,9,0,226
12298,52,52,0,249
15635,0,0,0,175
13499,4,4,0,26
5213,45,45,0,804
19119,136,135,1,694
3796,78,78,2,537
16306,0,0,0,16
8805,27,27,0,49
13468,25,25,0,709
5596,115,115,0,147
14854,17,17,0,61
20577,0,0,0,5
20385,0,0,0,31
6597,55,55,0,254
19377,21,21,0,58
4444,120,118,2,393
8387,97,94,3,232
4262,82,81,1,482
16278,0,0,0,1
6441,26,26,0,108
2120,9,9,0,108
8745,174,173,1,303
3669,8,8,0,50
12876,15,15,0,20
17019,0,0,0,14
17059,0,0,0,3
8203,22,22,0,141
15078,43,43,0,311
17752,8,8,0,217
12506,2,2,0,492
18476,109,108,1,777
18793,5,4,1,84
614,67,67,0,10645
18398,23,23,0,146
11043,30,30,0,52
1607,193,193,0,656
7199,113,111,2,1554
21270,0,0,0,311
15225,164,163,1,219
15935,17,17,0,1547
13805,43,43,0,1271
14305,155,154,1,302
5191,25,25,0,187
3929,20,20,0,3214
11393,157,156,2,1075
9014,26,26,0,424
11526,185,184,1,1189
15786,79,79,0,430
21546,2,0,0,164
11473,27,26,1,249
11257,64,64,0,388
5872,193,191,2,426
846,57,56,2,1439
9980,105,104,1,664
11580,46,46,0,109
6398,83,82,1,721
5043,79,77,2,159
18027,1,1,0,2
15739,27,27,0,247
21271,29,29,0,398
15772,86,86,0,381
14439,0,0,0,8
1554,53,53,0,410
4299,110,109,1,133
9297,59,59,0,1458
18412,4,4,0,1553
3239,38,38,0,65
10673,41,41,0,2466
12942,10,10,0,184
13211,43,43,0,65
14207,3,2,1,55
15265,0,0,0,303
2075,83,83,0,1702
8902,162,161,1,1486
19876,0,0,0,72
849,258,256,2,2607
8974,34,34,0,149
13996,3,3,0,21
9188,56,56,0,438
9298,4,4,0,29
20659,13,12,1,32
18792,1,1,0,12
18942,3,3,0,9
7680,44,43,1,1428
4347,293,290,3,390
14197,78,77,1,167
16156,9,9,0,29
19389,0,0,0,4
1673,109,108,2,10150
6874,92,91,1,608
20889,7,7,0,197
7335,80,79,1,152
13967,8,8,0,1162
8919,77,77,0,338
16974,0,0,0,36
17293,5,4,1,85
16756,39,39,0,887
2215,108,106,2,335
13847,29,29,0,339
2403,0,0,0,538
7775,32,32,0,110
5547,12,12,0,58
9969,19,19,0,52
11091,189,188,2,2162
18636,4,4,0,64
18422,0,0,0,615
7599,80,80,0,431
2592,38,38,0,224
3191,0,0,0,54
17768,6,6,0,25
6408,78,76,2,155
15146,14,14,0,101
17795,3,3,0,166
766,75,75,0,3336
18832,73,73,0,1049
1978,27,27,0,262
1789,3,3,0,71
19072,178,178,0,348
15595,0,0,0,2737
9471,108,108,0,209
21235,0,0,0,2
20757,106,103,3,432
14175,0,0,0,77
12734,65,65,0,1325
3849,7,7,0,47
5451,46,46,0,185
19652,0,0,0,4
9146,2,2,0,12
9112,136,136,0,1304
20268,0,0,0,3
3941,9,9,0,71
15286,78,78,0,1120
20619,0,0,0,127
16675,114,113,1,1066
20336,14,13,1,16
21071,4,4,0,149
29,95,95,0,1427
844,183,183,0,216
19647,79,79,0,524
6146,94,93,1,817
6,53,52,1,146
6884,48,47,1,302
13597,79,79,0,532
12821,17,17,0,29
20914,20,20,0,30
14977,119,119,0,1486
11308,30,28,2,44
4123,11,11,0,42
13851,42,42,1,123
19566,1,1,0,22
20442,83,82,1,1115
14461,5,5,0,85
17163,60,60,0,204
19968,63,62,1,759
1650,308,306,2,1847
6628,38,38,0,270
11211,10,10,0,30
3940,118,116,2,877
14916,51,51,1,298
6896,83,80,3,6131
458,20,20,0,58
16582,45,45,0,133
9138,11,11,0,1768
11459,27,26,1,230
368,37,37,0,1391
3364,171,167,5,597
11493,2,2,0,170
18914,6,6,0,180
4369,155,155,0,300
20407,1,0,0,2075
2167,69,68,1,144
11542,36,36,0,161
11904,24,24,0,242
9822,15,15,0,30
13530,29,28,1,93
3058,0,0,0,5
5405,32,31,1,381
14375,4,4,0,17
16967,39,39,0,883
1965,74,74,1,1613
12331,17,17,0,240
6658,7,7,0,70
11548,11,11,0,856
3009,171,168,3,6122
7722,11,11,0,1199
16628,17,17,0,1627
8698,37,36,1,105
6036,125,124,1,976
18042,48,47,1,55
5184,187,187,0,253
18312,27,27,0,142
7556,122,122,0,1394
16881,0,0,0,2
1601,32,32,0,119
19392,15,15,0,94
2092,29,29,0,719
14008,71,71,1,120
17405,0,0,0,9
20078,43,42,1,693
9439,73,71,3,207
4732,18,18,0,690
1654,18,18,0,2461
20735,38,37,1,58
8354,10,10,0,295
3906,7,7,0,58
4137,28,28,0,98
5506,56,55,1,288
12773,46,45,1,57
7254,63,63,0,344
4588,156,155,1,284
8614,201,199,2,461
12943,2,1,1,6
19483,1,0,0,2
12504,12,12,0,85
16930,6,6,0,65
4010,13,13,0,142
762,84,82,2,717
10388,7,7,0,898
13172,1,1,0,123
20938,22,22,0,37
5385,13,13,0,63
69,72,71,1,697
8304,2,2,0,8
11527,29,29,0,100
3587,6,6,0,46
14936,20,20,0,298
8680,146,145,1,213
15276,2,2,0,219
19679,59,59,0,1159
15488,151,151,0,758
8012,62,62,0,530
1445,81,80,1,152
12194,75,74,1,600
19582,9,9,0,80
3701,70,68,2,330
17987,136,135,1,139
15240,9,9,0,664
12217,15,15,0,298
18621,69,69,0,211
2233,50,50,0,112
5509,78,77,1,1668
279,81,81,0,105
4926,234,234,0,946
7553,40,40,1,262
18755,10,9,1,373
11669,11,11,0,3085
12914,13,13,0,42
13310,88,87,1,994
4113,37,37,0,91
8104,35,35,0,80
4438,19,19,0,86
9234,126,124,2,253
16596,34,33,1,61
15530,15,15,0,36
12435,48,48,0,439
4285,35,35,0,69
10813,123,122,1,725
11974,13,13,0,330
3315,80,80,0,582
2519,65,65,1,360
16735,41,40,1,118
18012,333,332,1,1635
1732,55,55,0,170
56,105,103,2,5471
8257,7,7,0,293
3226,21,21,0,368
3059,219,218,1,416
4118,42,41,1,272
7743,35,35,0,213
17972,109,107,2,187
18554,0,0,0,5
11376,58,57,1,289
12490,56,55,1,238
245,34,33,1,68
16552,1,0,0,493
6313,42,41,1,1666
1807,3,3,0,20
2670,90,88,2,613
19108,135,133,2,188
18456,5,5,0,32
21460,79,79,0,622
10213,174,174,0,1573
16114,11,10,1,21
12136,16,15,1,127
8912,42,42,0,128
14009,45,43,2,50
144,18,18,0,505
1885,1,1,0,3213
7981,22,22,0,80
1224,97,96,1,601
168,167,165,2,426
4280,27,27,0,498
20324,20,20,0,32
7532,106,105,1,2711
13433,106,104,2,341
13733,12,10,2,127
21281,19,19,0,171
4938,53,52,1,78
5699,17,17,0,35
18194,3,3,0,115
8042,149,148,1,178
8477,0,0,0,35
7804,13,13,0,196
11090,4,4,0,52
20240,30,30,0,195
16721,29,29,0,214
4121,168,167,1,315
7675,183,181,3,395
17791,0,0,0,270
9577,48,48,0,60
2718,341,338,6,2358
1035,85,85,0,332
10078,1,1,0,15
12888,47,47,0,219
21513,2,2,0,57
247,182,181,2,762
21227,5,4,1,353
11193,20,20,0,63
15624,3,3,0,15
20893,8,8,0,36
20592,44,44,0,124
11592,1,1,0,98
9981,6,6,0,120
17196,72,71,1,750
20546,90,88,2,403
12048,211,211,0,465
21325,68,68,0,232
3387,5,5,0,985
4779,110,107,3,130
1454,90,89,1,1811
7625,5,5,0,63
256,8,8,0,154
7926,11,10,1,363
8106,11,11,0,229
9767,336,335,3,1107
6351,36,36,0,362
13299,45,45,0,105
13534,78,78,0,426
20664,6,6,0,223
19789,0,0,0,5
5535,54,54,0,74
7558,56,56,0,722
19343,0,0,0,4
16391,19,19,0,1156
1526,77,76,1,450
5459,287,285,2,326
3850,17,17,0,65
21196,5,5,0,64
13780,30,30,0,198
3106,103,103,0,255
17849,0,0,0,543
4994,106,105,1,970
14866,29,28,1,328
1531,137,136,2,548
5458,30,30,1,447
8082,19,19,0,556
1274,87,84,3,142
426,84,83,1,161
12079,122,120,2,687
13202,203,201,2,1026
7055,25,25,0,463
16815,0,0,0,6
4441,99,97,2,1066
2822,84,82,2,383
6181,51,51,0,518
14518,47,47,0,163
15392,52,52,0,67
18034,30,30,0,113
21127,26,25,1,50
8935,8,8,0,201
2342,164,164,0,734
1759,216,214,4,4100
18339,112,110,2,233
16453,50,48,2,330
941,250,244,6,5096
2761,55,54,1,7286
16440,5,5,0,8
19864,64,64,0,2487
7082,124,123,3,2744
15590,0,0,0,104
9245,129,128,1,153
135,14,14,0,52
17710,83,82,1,91
17191,93,93,0,249
5137,6,6,0,46
18230,17,17,0,66
2795,137,136,1,2136
16928,0,0,0,8
9935,8,7,1,189
2418,13,13,0,54
15524,87,87,0,420
17198,0,0,0,118
13098,17,16,1,439
2495,86,86,0,478
2946,276,274,3,1759
1031,50,50,0,115
8410,1,1,0,51
15837,30,30,0,47
15,41,41,0,2438
20358,41,41,0,348
16962,53,53,0,529
6000,26,26,0,55
11019,88,85,3,460
5552,171,170,1,1707
11240,149,149,0,408
13425,99,99,0,281
2206,20,19,1,8814
5989,128,127,1,269
19403,2,1,1,2
10426,102,100,2,299
1124,374,371,3,973
12852,6,6,0,59
21547,4,4,0,14
7267,164,162,2,228
11994,23,23,1,300
6069,3,3,0,196
18416,0,0,0,31
13306,2,2,0,22
960,148,147,1,507
16729,76,76,0,83
11450,110,110,0,524
1516,56,56,0,119
21500,54,52,2,110
9383,6,6,0,18
10464,139,138,1,352
8529,7,7,0,70
2008,81,81,0,346
5143,4,4,0,23
10505,66,65,1,163
9556,66,65,1,273
8836,79,77,2,150
20119,1,1,0,77
11429,81,80,1,2111
19506,4,4,0,57
18600,2,2,0,5
14138,0,0,0,1574
14672,16,15,1,887
14272,0,0,0,187
14767,58,58,0,229
15123,0,0,0,1
804,68,67,1,86
19513,10,10,0,40
8853,45,45,0,242
16366,142,139,4,445
2047,22,21,1,153
18058,23,23,0,51
19994,71,70,1,137
9318,5,5,0,16
20841,2,2,0,137
7677,154,154,1,775
15183,75,74,1,933
10838,100,100,0,193
12028,100,100,0,230
19883,13,13,0,43
11347,7,5,2,33
1636,15,15,0,142
7344,29,28,1,71
9474,166,166,0,274
2262,98,97,1,595
4895,2,2,0,167
10445,291,290,1,451
19060,186,183,4,319
339,112,111,2,7700
8283,28,28,0,1525
11872,11,11,0,42
12940,20,20,0,1250
20378,12,10,2,251
19991,0,0,0,3
10209,1,1,0,326
591,95,93,2,118
14799,2,2,0,27
7865,11,11,0,179
19303,12,12,0,253
18212,0,0,0,2
21430,12,12,0,109
10310,115,112,4,1289
8184,65,65,0,146
5753,31,31,0,146
9794,58,56,2,114
19538,17,17,0,166
11274,33,33,0,361
16989,0,0,0,513
11380,64,63,1,2587
21247,8,8,0,25
12951,1,1,0,1
12556,42,42,0,875
4562,47,47,0,1002
15808,41,41,0,1580
12767,0,0,0,13
14465,26,26,0,151
17870,27,27,0,40
20,186,184,2,1330
1341,196,194,3,1571
9557,50,50,0,1767
1999,156,153,4,1736
2482,82,80,2,2132
15503,15,14,1,285
4623,21,21,0,136
16793,9,9,0,96
3468,27,27,0,30
12760,30,30,0,151
18017,0,0,0,13
18420,189,188,2,287
18520,31,31,0,8909
17969,48,48,0,132
13405,59,58,1,2228
12829,6,6,0,1291
18313,18,18,0,87
5217,82,81,1,166
8140,36,36,0,1302
12969,4,4,0,114
11115,73,73,0,243
16194,37,37,0,528
17094,38,38,0,51
14023,30,30,0,56
18769,3,3,0,116
4644,49,48,1,153
13481,39,39,0,119
2408,190,188,2,250
14198,3,3,0,14
15913,157,157,0,553
19862,22,21,1,878
8531,18,18,0,56
9749,124,122,2,145
14000,2,2,0,6
4876,28,28,0,56
7033,115,115,0,540
15125,16,16,0,59
14357,5,5,0,10
20139,0,0,0,292
13191,16,16,1,262
10732,81,81,0,2785
21041,2,2,0,23
10684,27,27,0,140
16807,105,103,3,372
5112,114,114,1,208
15518,7,7,0,14
11012,93,93,1,4690
16380,23,23,0,58
21150,0,0,0,7
19672,0,0,0,1
988,26,26,0,63
13622,10,10,0,54
8095,3,2,1,52
7928,118,118,0,467
11021,7,7,0,51
12363,50,50,0,365
7099,55,54,1,128
4899,112,112,0,146
9174,26,26,0,2431
12949,8,8,0,4400
15852,41,40,1,1064
14450,49,49,0,126
8079,7,7,0,164
7567,6,6,0,130
10202,108,108,0,776
21424,28,28,0,792
10432,9,9,0,213
10197,123,123,0,1061
2203,8,8,0,82
10115,10,10,0,37
4397,26,26,0,421
20673,127,126,1,130
10361,72,72,1,501
5570,41,41,0,68
16076,124,122,2,338
21523,5,5,0,888
17364,0,0,0,6
6529,155,155,1,488
5171,7,7,0,699
7068,4,4,0,327
15342,2,2,0,6
15294,0,0,0,1
19602,28,28,0,455
17809,57,56,1,10468
7526,125,124,1,705
11975,128,127,1,370
1176,238,237,1,1006
17425,50,50,0,357
20456,17,17,0,113
12488,110,109,1,339
17126,3,3,0,106
20016,0,0,0,4
12272,25,25,0,4209
1380,33,33,0,95
4067,94,93,1,3935
3465,28,27,1,181
15603,1,1,0,7
5101,8,8,0,19
16081,0,0,0,3
12625,4,4,0,13
10089,12,11,1,258
12529,11,11,0,35
18871,0,0,0,1
12819,4,4,0,8
15164,0,0,0,2
7150,30,29,1,81
19186,4,1,3,3
6836,17,15,2,242
3575,227,226,1,1418
2286,37,37,0,234
18772,24,24,0,848
17084,6,6,0,1752
13263,40,40,0,823
9479,78,78,0,3888
666,29,28,1,1119
15536,0,0,0,1
7910,0,0,0,19
295,60,58,2,183
1655,6,6,0,1339
15357,31,31,0,477
5457,179,178,1,223
8587,0,0,0,14
10656,10,10,0,40
17371,60,59,1,2850
13985,55,55,0,182
6592,68,68,0,154
18139,2,2,0,3
7762,105,104,2,353
14257,22,22,0,70
6636,322,321,1,626
21008,78,78,0,124
9548,90,90,0,138
15180,98,97,1,472
10595,138,137,1,246
8734,28,28,0,597
20924,5,5,0,50
4641,218,217,2,308
8078,40,40,0,73
20382,23,23,0,108
1318,240,240,0,1089
19667,22,22,0,187
5454,45,45,0,677
13089,78,78,0,173
10556,7,7,0,93
11102,269,267,2,442
18662,48,48,0,1162
21403,164,164,0,508
19208,6,1,5,5
17112,48,48,0,685
12925,1,1,0,42
100,7,7,0,1565
7203,15,15,0,62
13794,9,9,0,30
13904,8,8,0,36
2539,30,29,1,4795
7703,68,67,2,447
835,21,21,0,342
13025,12,12,0,2584
18221,13,13,0,82
5878,6,6,0,44
4159,95,95,0,508
19129,12,11,1,24
21286,8,8,0,10
11413,6,6,0,219
3491,189,188,1,462
7331,45,45,0,761
12791,24,24,0,726
13785,33,33,0,569
5793,0,0,0,56
6649,21,21,0,146
19053,0,0,0,282
6573,43,43,0,109
8583,0,0,0,14
16361,0,0,0,5
13605,28,27,1,87
15422,109,108,1,681
16155,0,0,0,5
19484,18,18,0,186
5940,28,27,1,5379
4802,77,77,0,93
5348,60,60,0,68
5584,79,77,2,663
18752,0,0,0,453
1989,122,120,2,3746
15095,28,28,0,74
1091,71,70,1,96
8133,58,58,0,306
10889,101,99,2,4406
10294,53,52,1,285
8811,426,421,5,1251
19642,20,20,0,362
539,8,8,0,242
1108,28,28,0,52
3559,196,194,3,1371
5691,17,17,0,88
11177,9,9,0,547
19996,0,0,0,33
278,307,305,2,423
10168,207,207,0,291
9488,24,24,0,55
17207,6,6,0,60
